user_id,item_id
0,44
0,569
0,558
0,652
0,81
0,744
0,532
0,150
0,144
0,123
1,87
1,659
1,523
1,699
1,694
1,692
1,483
1,397
1,1469
1,143
2,95
2,82
2,1112
2,2002
2,406
2,399
2,1096
2,494
2,468
2,1538
3,107
3,2005
3,2001
3,1896
3,1864
3,1823
3,1544
3,1157
3,1154
3,1039
4,104
4,115
4,524
4,514
4,655
4,1106
4,544
4,1063
4,1047
4,1438
5,130
5,129
5,839
5,2012
5,807
5,1772
5,1945
5,923
5,884
5,1650
6,164
6,179
6,174
6,355
6,1452
6,1435
6,527
6,524
6,1377
6,1110
7,196
7,123
7,1462
7,346
7,344
7,1621
7,534
7,532
7,524
7,88
8,214
8,203
8,202
8,1428
8,795
8,13
8,830
8,1302
8,1703
8,2011
9,209
9,1205
9,2117
9,1736
9,1232
9,1111
9,782
9,550
9,544
9,476
10,225
10,224
10,203
10,404
10,400
10,1519
10,790
10,724
10,1993
10,1564
11,233
11,1130
11,1270
11,758
11,2133
11,2099
11,2095
11,2068
11,1883
11,1741
12,241
12,180
12,176
12,703
12,699
12,1371
12,1098
12,511
12,510
12,57
13,252
13,248
13,247
13,2159
13,1494
13,112
13,636
13,1101
13,556
13,2078
14,254
14,229
14,221
14,175
14,253
14,2060
14,937
14,157
14,49
14,87
15,269
15,263
15,262
15,248
15,47
15,332
15,556
15,1392
15,1225
15,573
16,259
16,280
16,437
16,435
16,765
16,584
16,972
16,971
16,1990
16,420
17,291
17,1953
17,1199
17,1074
17,544
17,482
17,48
17,1522
17,1685
17,784
18,295
18,161
18,1917
18,1764
18,894
18,563
18,93
18,1584
18,222
18,1509
19,309
19,1136
19,764
19,758
19,2134
19,2003
19,1861
19,1856
19,1734
19,1422
20,303
20,315
20,1737
20,2135
20,2134
20,2132
20,1613
20,1434
20,1424
20,1423
21,664
21,1859
21,1855
21,1725
21,1493
21,1488
21,1464
21,1292
21,1290
21,1113
22,340
22,325
22,741
22,1478
22,1103
22,954
22,951
22,145
22,2108
22,2101
23,359
23,357
23,351
23,244
23,231
23,1804
23,1803
23,1450
23,1445
23,845
24,351
24,1421
24,1466
24,1465
24,1102
24,1069
24,1064
24,997
24,824
24,563
25,355
25,354
25,372
25,369
25,363
25,134
25,1922
25,1614
25,567
25,1568
26,371
26,370
26,1455
26,425
26,634
26,1550
26,1392
26,785
26,1416
26,1627
27,386
27,384
27,383
27,241
27,235
27,231
27,1623
27,1620
27,1435
27,470
28,391
28,389
28,72
28,1850
28,1615
28,482
28,450
28,409
28,388
28,708
29,387
29,411
29,401
29,1255
29,1022
29,761
29,577
29,103
29,1805
29,1544
30,407
30,399
30,469
30,465
30,29
30,19
30,13
30,122
30,115
30,1476
31,424
31,216
31,205
31,423
31,902
31,233
31,1646
31,526
31,706
31,140
32,484
32,42
32,400
32,153
32,151
32,97
32,125
32,120
32,378
32,324
33,479
33,500
33,493
33,569
33,2085
33,2075
33,1367
33,868
33,862
33,860
34,497
34,492
34,446
34,1344
34,875
34,872
34,149
34,1729
34,1715
34,1220
35,503
35,58
35,53
35,134
35,2035
35,1319
35,1310
35,1271
35,1270
35,1075
36,547
36,546
36,503
36,15
36,168
36,166
36,158
36,655
36,484
36,1709
37,553
37,205
37,523
37,354
37,116
37,112
37,2148
37,2051
37,2049
37,2024
38,561
38,122
38,170
38,1805
38,1914
38,1905
38,1210
38,1196
38,1090
38,1088
39,572
39,15
39,519
39,169
39,1714
39,1090
39,666
39,660
39,536
39,533
40,580
40,1607
40,1606
40,2144
40,1593
40,1592
40,1589
40,1586
40,1579
40,1558
41,590
41,1537
41,1534
41,1145
41,1138
41,973
41,642
41,2147
41,1956
41,1867
42,599
42,985
42,977
42,803
42,787
42,590
42,263
42,2079
42,1581
42,910
43,612
43,590
43,421
43,419
43,1654
43,339
43,329
43,2117
43,1603
43,1601
44,615
44,554
44,541
44,237
44,144
44,614
44,348
44,1505
44,59
44,1103
45,624
45,1105
45,1450
45,751
45,740
45,1614
45,522
45,514
45,431
45,391
46,466
46,450
46,445
46,149
46,146
46,141
46,643
46,641
46,632
46,477
47,630
47,147
47,144
47,513
47,461
47,308
47,1431
47,1423
47,1109
47,1108
48,643
48,631
48,1176
48,1175
48,2054
48,1888
48,1820
48,1653
48,1651
48,1648
49,655
49,995
49,987
49,404
49,61
49,702
49,568
49,562
49,560
49,27
50,668
50,664
50,565
50,1613
50,696
50,695
50,997
50,139
50,127
50,1415
51,664
51,69
51,624
51,619
51,216
51,201
51,435
51,426
51,262
51,390
52,701
52,645
52,149
52,561
52,1420
52,1409
52,889
52,532
52,1550
52,1341
53,717
53,530
53,527
53,239
53,232
53,1472
53,1072
53,1071
53,674
53,192
54,127
54,1420
54,1418
54,851
54,839
54,125
54,119
54,115
54,1114
54,1063
55,738
55,731
55,730
55,710
55,588
55,583
55,582
55,1599
55,802
55,797
56,546
56,541
56,24
56,12
56,346
56,1729
56,1349
56,559
56,532
56,1879
57,68
57,59
57,124
57,151
57,1932
57,169
57,1575
57,1570
57,1565
57,1269
58,524
58,34
58,254
58,147
58,569
58,490
58,999
58,764
58,756
58,499
59,768
59,455
59,448
59,418
59,617
59,1990
59,1251
59,859
59,1552
59,1178
60,781
60,450
60,1206
60,888
60,1957
60,1954
60,1447
60,569
60,153
60,148
61,779
61,789
61,450
61,397
61,1124
61,923
61,788
61,1098
61,1943
61,1882
62,799
62,418
62,412
62,859
62,590
62,582
62,581
62,214
62,203
62,2163
63,530
63,527
63,199
63,811
63,806
63,638
63,110
63,1624
63,400
63,399
64,820
64,814
64,805
64,797
64,364
64,1997
64,434
64,389
64,380
64,812
65,816
65,250
65,1475
65,1351
65,939
65,472
65,463
65,1894
65,1774
65,1730
66,605
66,2016
66,1091
66,1081
66,2139
66,776
66,528
66,119
66,116
66,2119
67,823
67,817
67,620
67,235
67,208
67,305
67,1926
67,192
67,229
67,1464
68,483
68,827
68,658
68,657
68,1718
68,1208
68,1201
68,148
68,142
68,140
69,412
69,229
69,1067
69,1065
69,865
69,843
69,1994
69,1738
69,1662
69,1174
70,841
70,15
70,992
70,1996
70,1993
70,1986
70,1349
70,1348
70,154
70,149
71,846
