user_id,item_id
0,156
0,150
0,144
0,135
0,123
0,117
0,81
0,44
0,640
0,575
1,143
1,138
1,87
1,618
1,578
1,563
1,541
1,523
1,483
1,442
2,201
2,193
2,179
2,160
2,133
2,97
2,95
2,82
2,76
2,14
3,149
3,119
3,107
3,65
3,62
3,52
3,48
3,33
3,21
3,869
4,203
4,169
4,129
4,115
4,104
4,65
4,43
4,16
4,596
4,578
5,198
5,193
5,178
5,173
5,164
5,148
5,130
5,101
5,73
5,40
6,214
6,179
6,174
6,164
6,58
6,23
6,22
6,8
6,1514
6,1509
7,212
7,211
7,196
7,123
7,88
7,54
7,30
7,12
7,3
7,600
8,214
8,203
8,184
8,172
8,128
8,105
8,36
8,26
8,2159
8,2128
9,209
9,188
9,178
9,175
9,93
9,86
9,78
9,75
9,59
9,55
10,404
10,400
10,359
10,225
10,224
10,203
10,185
10,174
10,172
10,160
11,415
11,362
11,342
11,341
11,331
11,310
11,278
11,269
11,248
11,233
12,419
12,399
12,342
12,337
12,327
12,285
12,274
12,267
12,250
12,247
13,420
13,402
13,401
13,398
13,363
13,344
13,342
13,277
13,273
13,258
14,431
14,430
14,412
14,387
14,340
14,319
14,254
14,229
14,221
14,202
15,432
15,391
15,385
15,332
15,324
15,321
15,308
15,277
15,269
15,263
16,420
16,414
16,413
16,388
16,362
16,345
16,339
16,334
16,280
16,259
17,397
17,394
17,390
17,371
17,363
17,342
17,291
17,252
17,224
17,216
18,430
18,397
18,381
18,311
18,295
18,275
18,263
18,231
18,230
18,224
19,408
19,391
19,350
19,335
19,313
19,309
19,278
19,242
19,241
19,239
20,388
20,368
20,329
20,315
20,303
20,258
20,198
20,175
20,172
20,169
21,425
21,404
21,393
21,342
21,328
21,288
21,264
21,257
21,202
21,193
22,392
22,363
22,340
22,325
22,263
22,235
22,830
22,787
22,741
22,724
23,421
23,414
23,405
23,377
23,359
23,357
23,351
23,324
23,315
23,284
24,409
24,407
24,403
24,395
24,381
24,371
24,362
24,351
24,313
24,296
25,134
25,116
25,110
25,105
25,91
25,87
25,24
25,11
25,1
25,372
26,371
26,357
26,260
26,217
26,2152
26,2121
26,2105
26,2056
26,2051
26,2044
27,413
27,406
27,386
27,384
27,383
27,343
27,337
27,336
27,290
27,289
28,423
28,416
28,409
28,391
28,389
28,334
28,253
28,250
28,215
28,144
29,411
29,401
29,387
29,342
29,331
29,323
29,301
29,281
29,276
29,255
30,196
30,193
30,152
30,122
30,115
30,97
30,71
30,29
30,19
30,13
31,424
31,384
31,370
31,364
31,359
31,357
31,355
31,352
31,326
31,314
32,633
32,609
