ID,label
1,2
2,2
3,0
4,2
5,0
6,1
7,1
8,2
9,1
10,0
11,2
12,0
13,0
14,2
15,0
16,1
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,2
25,2
26,2
27,0
28,0
29,2
30,0
31,2
32,1
33,2
34,0
35,1
36,0
37,1
38,2
39,0
40,0
41,2
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,2
50,0
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,2
59,2
60,2
61,1
62,0
63,0
64,0
65,2
66,2
67,1
68,1
69,1
70,1
71,0
72,2
73,0
74,0
75,1
76,0
77,2
78,0
79,1
80,2
81,1
82,1
83,1
84,2
85,2
86,1
87,2
88,0
89,1
90,2
91,2
92,1
93,2
94,2
95,0
96,1
97,0
98,0
99,2
100,0
101,2
102,1
103,2
104,0
105,1
106,2
107,1
108,1
109,0
110,2
111,1
112,1
113,0
114,2
115,1
116,2
117,2
118,0
119,1
120,2
121,1
122,0
123,2
124,2
125,1
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,1
134,2
135,1
136,1
137,0
138,1
139,0
140,1
141,2
142,0
143,1
144,1
145,2
146,2
147,2
148,2
149,0
150,1
151,2
152,2
153,1
154,1
155,0
156,1
157,2
158,1
159,1
160,0
161,2
162,0
163,0
164,0
165,1
166,2
167,2
168,0
169,2
170,1
171,1
172,1
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,2
182,1
183,2
184,2
185,0
186,2
187,0
188,2
189,2
190,2
191,1
192,0
193,2
194,2
195,1
196,2
197,2
198,2
199,0
200,1
201,1
202,0
203,0
204,1
205,2
206,2
207,1
208,2
209,2
210,0
211,0
212,1
213,2
214,2
215,0
216,2
217,1
218,1
219,2
220,0
221,0
222,1
223,1
224,2
225,1
226,2
227,0
228,2
229,1
230,0
231,0
232,1
233,0
234,2
235,0
236,0
237,2
238,0
239,2
240,2
241,0
242,0
243,1
244,1
245,0
246,2
247,0
248,0
249,2
250,0
251,1
252,0
253,0
254,2
255,1
256,2
257,0
258,1
259,2
260,0
261,1
262,2
263,0
264,1
265,0
266,1
267,2
268,0
